kiosk_no,owner,distirict,term_no,lat,lon,title,term_type,address
0040001215,RAHMİYE PETR.ÜRN.İNŞ.SAN.VE TİC.LTD.ŞTİ,null,01361,40.712422,30.016093,RAHMİYE PETR.ÜRN.İNŞ.SAN.VE TİC.LTD.ŞTİ,0,RAHMİYE MAH İZMİT CAD 194 
0040001234,ADEM BİLGİÇ,null,01382,40.754678,30.030965,BİLGİÇLER MARKET,0,ESENTEPE MAH. ÇENEDAĞ CAD. NO:76 
0040001244,SÜLEYMAN MAMAY,null,01392,40.775842,29.920894,DALAS BÜFE-5,0,TURGUT MAH İSMAİL GASPIRALI CAD KENTKONUT MERCAN KONUTLARI 8 C J 
0040001253,DURSUN YANÇAR,null,01410,40.802895,29.993379,ULAŞ MARKET,0,ÇAYIRKÖY MAH GÖLKENT 1.ETAP SOK GÖLKENT 1.ETAP DÜKKAN 1 1-1 
0040001265,FEYSEL BEYAZ,null,01421,40.794836,29.459256,BEYAZLAR KOZMATİK GIDA İNŞ.MAK.PAZ.SAN.TİC.LTD.ŞTİ.,0,BARIŞ MAH KOŞU YOLU CAD GEBZE TERMİNALİ B BLOK 20 B 27 
0040001290,NİHAT GÜNGÖR,BAĞÇEŞME,01446,40.779467,29.927161,İSKELE MARKET 2,0,ORHAN MAH TOLGA SOK 1/1 
0040001301,GÖKSEL KARAKOÇ,null,01879,40.805508,29.647689,KARAKOÇ TİCARET,0,YUKARI HEREKE MAH ÇARŞI CAD. 23 1 
0040001301,GÖKSEL KARAKOÇ,null,01457,40.799965,29.643947,KARAKOÇ TİCARET,0,YUKARI HEREKE MAH ÇARŞI CAD. 23 1 
0040001307,ŞENOL ACAR,null,01463,40.774058,29.958529,ACAR MARKET,0,TAVŞANTEPE MAH ZENGİN SOK 44 
0040001096,VEDAT ATAŞ,null,01217,40.773714,29.999544,ATAŞ MARKET,0,ALİKAHYA FATİH MAH. FATMA SEHER HANIM CAD. 14 A 
0040001118,ÜMİT TÜRKER,null,01242,40.791367,29.979991,ES-MA MARKET,0,ÇAYIRKÖY MERKEZ MEV. KANDIRA YOLU UZ. OPET 153 
0040001129,OSMAN AKÇAY,null,01262,40.767281,29.958536,AKÇAY MARKET,0,YENİŞEHİR MAH. GAZİ MUSTAFA KEMAL BLV. 92 B 
0040001131,MEHMET KÖSE,null,01264,40.803221,29.966121,KARADENİZ MİNİ MARKET,0,TEPEKÖY MAH. 17 AĞUSTOS BULVARI 68 
0040001146,EMEL ALGAN,null,01280,40.754972,29.809461,ZZ BÜFE,0,YAVUZ SULTAN MAH KÖRFEZ CAD D PLAZA C BLOK 6/F 
0040001147,SÜLEYMAN TURAN,null,01281,40.753505,29.808238,CANAN BÜFE,0,DUMLUPINAR MAH. SAKIP SABANCI CAD. 120 A 
0040001175,GÜRKAN KAR,null,01310,40.764728,29.965421,KONAK BÜFE,0,YENİŞEHİR MAH DÖNMEZ SOK 32 A 
0040001273,FARUK DAŞDEMİR,null,01429,40.775246,29.52563,DAŞDEMİR MARKET,0,DİLİSKELESİ MAH CUMHURİYET CAD 76/A 
0040001279,ŞAHADET RÜMEYSA MİNTEMUR,null,01435,40.763636,29.971649,YAVUZ BÜFE,0,YAHYAKAPTAN MAH AKKAVAKLAR CAD 9 D 
0040001281,ALİ AKBAL,null,01437,40.772041,29.838731,AKBAL MARKET,0,ÇINARLI MAH YASEMİN SOK 2 
0040001345,İHSAN SAYAR,null,01505,40.770178,29.822845,FATİH BÜFE,0,FATİHSULTAN MAH.SEMT HAVVA SOK.NO:2
0040001324,NECATİ KULA,null,01482,40.770887,29.958004,KULA GIDA,0,YENİ ŞEHİR MAH. ŞEHİT KAZIM CAD. NO:13 İZMİT/KOCAELİ
